140,8C,10001100,1000,1100,"ADC A,H",ADC,A,H,1,4,Z,0,H,C
141,8D,10001101,1000,1101,"ADC A,L",ADC,A,L,1,4,Z,0,H,C
142,8E,10001110,1000,1110,"ADC A,(HL)",ADC,A,(HL),1,8,Z,0,H,C
143,8F,10001111,1000,1111,"ADC A,A",ADC,A,A,1,4,Z,0,H,C
144,90,10010000,1001,0000,SUB B,SUB,B,,1,4,Z,1,H,C
145,91,10010001,1001,0001,SUB C,SUB,C,,1,4,Z,1,H,C
146,92,10010010,1001,0010,SUB D,SUB,D,,1,4,Z,1,H,C
147,93,10010011,1001,0011,SUB E,SUB,E,,1,4,Z,1,H,C
148,94,10010100,1001,0100,SUB H,SUB,H,,1,4,Z,1,H,C
149,95,10010101,1001,0101,SUB L,SUB,L,,1,4,Z,1,H,C
150,96,10010110,1001,0110,SUB (HL),SUB,(HL),,1,8,Z,1,H,C
151,97,10010111,1001,0111,SUB A,SUB,A,,1,4,Z,1,H,C
152,98,10011000,1001,1000,"SBC A,B",SBC,A,B,1,4,Z,1,H,C
153,99,10011001,1001,1001,"SBC A,C",SBC,A,C,1,4,Z,1,H,C
154,9A,10011010,1001,1010,"SBC A,D",SBC,A,D,1,4,Z,1,H,C
155,9B,10011011,1001,1011,"SBC A,E",SBC,A,E,1,4,Z,1,H,C
156,9C,10011100,1001,1100,"SBC A,H",SBC,A,H,1,4,Z,1,H,C
157,9D,10011101,1001,1101,"SBC A,L",SBC,A,L,1,4,Z,1,H,C
158,9E,10011110,1001,1110,"SBC A,(HL)",SBC,A,(HL),1,8,Z,1,H,C
159,9F,10011111,1001,1111,"SBC A,A",SBC,A,A,1,4,Z,1,H,C
160,A0,10100000,1010,0000,AND B,AND,B,,1,4,Z,0,1,0
161,A1,10100001,1010,0001,AND C,AND,C,,1,4,Z,0,1,0
162,A2,10100010,1010,0010,AND D,AND,D,,1,4,Z,0,1,0
163,A3,10100011,1010,0011,AND E,AND,E,,1,4,Z,0,1,0
164,A4,10100100,1010,0100,AND H,AND,H,,1,4,Z,0,1,0
165,A5,10100101,1010,0101,AND L,AND,L,,1,4,Z,0,1,0
166,A6,10100110,1010,0110,AND (HL),AND,(HL),,1,8,Z,0,1,0
167,A7,10100111,1010,0111,AND A,AND,A,,1,4,Z,0,1,0
168,A8,10101000,1010,1000,XOR B,XOR,B,,1,4,Z,0,0,0
169,A9,10101001,1010,1001,XOR C,XOR,C,,1,4,Z,0,0,0
170,AA,10101010,1010,1010,XOR D,XOR,D,,1,4,Z,0,0,0
171,AB,10101011,1010,1011,XOR E,XOR,E,,1,4,Z,0,0,0
172,AC,10101100,1010,1100,XOR H,XOR,H,,1,4,Z,0,0,0
173,AD,10101101,1010,1101,XOR L,XOR,L,,1,4,Z,0,0,0
174,AE,10101110,1010,1110,XOR (HL),XOR,(HL),,1,8,Z,0,0,0
175,AF,10101111,1010,1111,XOR A,XOR,A,,1,4,Z,0,0,0
176,B0,10110000,1011,0000,OR B,OR,B,,1,4,Z,0,0,0
177,B1,10110001,1011,0001,OR C,OR,C,,1,4,Z,0,0,0
178,B2,10110010,1011,0010,OR D,OR,D,,1,4,Z,0,0,0
179,B3,10110011,1011,0011,OR E,OR,E,,1,4,Z,0,0,0
180,B4,10110100,1011,0100,OR H,OR,H,,1,4,Z,0,0,0
181,B5,10110101,1011,0101,OR L,OR,L,,1,4,Z,0,0,0
182,B6,10110110,1011,0110,OR (HL),OR,(HL),,1,8,Z,0,0,0
183,B7,10110111,1011,0111,OR A,OR,A,,1,4,Z,0,0,0
184,B8,10111000,1011,1000,CP B,CP,B,,1,4,Z,1,H,C
185,B9,10111001,1011,1001,CP C,CP,C,,1,4,Z,1,H,C
186,BA,10111010,1011,1010,CP D,CP,D,,1,4,Z,1,H,C
187,BB,10111011,1011,1011,CP E,CP,E,,1,4,Z,1,H,C
188,BC,10111100,1011,1100,CP H,CP,H,,1,4,Z,1,H,C
189,BD,10111101,1011,1101,CP L,CP,L,,1,4,Z,1,H,C
190,BE,10111110,1011,1110,CP (HL),CP,(HL),,1,8,Z,1,H,C
191,BF,10111111,1011,1111,CP A,CP,A,,1,4,Z,1,H,C
192,C0,11000000,1100,0000,RET NZ,RET,NZ,,1,20/8,-,-,-,-
193,C1,11000001,1100,0001,POP BC,POP,BC,,1,12,-,-,-,-
194,C2,11000010,1100,0010,"JP NZ,a16",JP,NZ,a16,3,16/12,-,-,-,-
195,C3,11000011,1100,0011,JP a16,JP,a16,,3,16,-,-,-,-
196,C4,11000100,1100,0100,"CALL NZ,a16",CALL,NZ,a16,3,24/12,-,-,-,-
197,C5,11000101,1100,0101,PUSH BC,PUSH,BC,,1,16,-,-,-,-
198,C6,11000110,1100,0110,"ADD A,d8",ADD,A,d8,2,8,Z,0,H,C
199,C7,11000111,1100,0111,RST 00H,RST,00H,,1,16,-,-,-,-
200,C8,11001000,1100,1000,RET Z,RET,Z,,1,20/8,-,-,-,-
201,C9,11001001,1100,1001,RET,RET,,,1,16,-,-,-,-
202,CA,11001010,1100,1010,"JP Z,a16",JP,Z,a16,3,16/12,-,-,-,-
203,CB,11001011,1100,1011,PREFIX CB,PREFIX,CB,,1,4,-,-,-,-
204,CC,11001100,1100,1100,"CALL Z,a16",CALL,Z,a16,3,24/12,-,-,-,-
205,CD,11001101,1100,1101,CALL a16,CALL,a16,,3,24,-,-,-,-
206,CE,11001110,1100,1110,"ADC A,d8",ADC,A,d8,2,8,Z,0,H,C
207,CF,11001111,1100,1111,RST 08H,RST,08H,,1,16,-,-,-,-
208,D0,11010000,1101,0000,RET NC,RET,NC,,1,20/8,-,-,-,-
209,D1,11010001,1101,0001,POP DE,POP,DE,,1,12,-,-,-,-
210,D2,11010010,1101,0010,"JP NC,a16",JP,NC,a16,3,16/12,-,-,-,-
211,D3,11010011,1101,0011, ,,,
212,D4,11010100,1101,0100,"CALL NC,a16",CALL,NC,a16,3,24/12,-,-,-,-
213,D5,11010101,1101,0101,PUSH DE,PUSH,DE,,1,16,-,-,-,-
214,D6,11010110,1101,0110,SUB d8,SUB,d8,,2,8,Z,1,H,C
215,D7,11010111,1101,0111,RST 10H,RST,10H,,1,16,-,-,-,-
216,D8,11011000,1101,1000,RET C,RET,C,,1,20/8,-,-,-,-
217,D9,11011001,1101,1001,RETI,RETI,,,1,16,-,-,-,-
218,DA,11011010,1101,1010,"JP C,a16",JP,C,a16,3,16/12,-,-,-,-
219,DB,11011011,1101,1011, ,,,
220,DC,11011100,1101,1100,"CALL C,a16",CALL,C,a16,3,24/12,-,-,-,-
221,DD,11011101,1101,1101, ,,,
222,DE,11011110,1101,1110,"SBC A,d8",SBC,A,d8,2,8,Z,1,H,C
223,DF,11011111,1101,1111,RST 18H,RST,18H,,1,16,-,-,-,-
224,E0,11100000,1110,0000,"LDH (a8),A",LDH,(a8),A,2,12,-,-,-,-
225,E1,11100001,1110,0001,POP HL,POP,HL,,1,12,-,-,-,-
226,E2,11100010,1110,0010,"LD (C),A",LD,(C),A,2,8,-,-,-,-
227,E3,11100011,1110,0011, ,,,
228,E4,11100100,1110,0100, ,,,
229,E5,11100101,1110,0101,PUSH HL,PUSH,HL,,1,16,-,-,-,-
230,E6,11100110,1110,0110,AND d8,AND,d8,,2,8,Z,0,1,0
231,E7,11100111,1110,0111,RST 20H,RST,20H,,1,16,-,-,-,-
232,E8,11101000,1110,1000,"ADD SP,r8",ADD,SP,r8,2,16,0,0,H,C
233,E9,11101001,1110,1001,JP (HL),JP,(HL),,1,4,-,-,-,-
234,EA,11101010,1110,1010,"LD (a16),A",LD,(a16),A,3,16,-,-,-,-
235,EB,11101011,1110,1011, ,,,
236,EC,11101100,1110,1100, ,,,
237,ED,11101101,1110,1101, ,,,
238,EE,11101110,1110,1110,XOR d8,XOR,d8,,2,8,Z,0,0,0
239,EF,11101111,1110,1111,RST 28H,RST,28H,,1,16,-,-,-,-
240,F0,11110000,1111,0000,"LDH A,(a8)",LDH,A,(a8),2,12,-,-,-,-
